Date,Concert,Tournée,Première partie / invités,Affluence
16/06/2018,Drapeau du Royaume-Uni Roger Waters,Us + Them Tour,,23 649
23/06/2018,North Summer Festival,,Betical / Henri PFR / Ofenbach / Kungs / Alan Walker / Martin Solveig / Dimitri Vegas & Like Mike /,15 000 [ 80 ]
18/06/2019,Drapeau du Royaume-Uni Elton John,Farewell Yellow Brick Road,,26 516 [ 81 ]
22/06/2019,Drapeau de la France Indochine,13 Tour,,54 000 [ 82 ]
23/06/2019,Drapeau de la France Indochine,13 Tour,Requin Chagrin,54 000 [ 82 ]
28/06/2019,Drapeau de la France Supreme NTM,L'Ultime Tournée,BEN / Lord Gasmique,13 248 [ 83 ]
06/09/2019,Drapeau de la France Soprano,Phoenix Tour,Mr Carlton,50 000 [ 84 ]
07/09/2019,Drapeau de la France Soprano,Phoenix Tour,Mr Carlton,50 000 [ 84 ]
04/06/2022,Drapeau de la France Ninho,Jefe Airlines Tour,,22 142 [ 84 ]
25/06/2022,Drapeau de la France Slimane / Vitaa,VersuS Tour,Sola / Camille / Claudio Capéo / Amel Bent / Gims / Dadju,16 203 [ 85 ]
02/07/2022,Drapeau de la France Indochine,Central Tour,Vitalic / Christine and the Queens / 3SEX / Dimitri Bodianski / Lou Sirkis,67 838
03/07/2022,Drapeau de la France Indochine,Central Tour,Vitalic / Christine and the Queens / 3SEX / Dimitri Bodianski / Lou Sirkis,67 481
12/05/2023,Drapeau du Royaume-Uni Roger Waters,This is not a Drill,,35 000
24/05/2023,Drapeau du Royaume-Uni Peter Gabriel,i/o the Tou,,
03/06/2023,Drapeau de la France Mylène Farmer,Nevermore,,45 000
17/06/2023,Drapeau de la France M. Pokora,Epicentre Tour,,
22/06/2023,Drapeau du Royaume-Uni Depeche Mode,Mementor Mori World Tour,Jehnny Beth,25 000
24/06/2023,Drapeau de la France Soprano,Chasseur d'étoiles tour,,45 000 [ 86 ]
25/06/2023,Drapeau de la France Soprano,Chasseur d'étoiles tour,,45 000 [ 86 ]
31/05/2024,Drapeau de la France Biglo & Oli,,,20 000 [ 87 ]
23/04/2025,Drapeau de la France Ninho,Jefe Airlines Tour,,20 000 [ 88 ]
24/05/2025,Drapeau des États-Unis Bruce Springsteen,Land of Hope and Dreams tour,,60 000 [ 89 ]
27/05/2025,Drapeau des États-Unis Bruce Springsteen,Land of Hope and Dreams tour,,35 000 [ 89 ]
31/05/2025,Drapeau de la France Soprano,Freedom Tour,,22 000 [ 90 ]
06/06/2025,Stars 80 vs Stars 90,,Patrick Hernandez / Jean-Pierre Mader / Début de soirée / Images / Sabrina / Larusso / Hélène Segara / Michael Jones / Zouk Machine / Tina Arena / Joniece Jamison / Phil Barney / Vivien Savage / Renaud / Ophélie Winter /,27 000 [ 91 ]
07/06/2025,Stars 80 vs Stars 90,,Patrick Hernandez / Jean-Pierre Mader / Début de soirée / Images / Sabrina / Larusso / Hélène Segara / Michael Jones / Zouk Machine / Tina Arena / Joniece Jamison / Phil Barney / Vivien Savage / Renaud / Ophélie Winter /,27 000 [ 91 ]
20/06/2025,Drapeau de la Grande-Bretagne Ed Sheeran,Mathematics Tour,,130 000 [ 92 ]
21/06/2025,Drapeau de la Grande-Bretagne Ed Sheeran,Mathematics Tour,Pierre Garnier,130 000 [ 92 ]
28/06/2025,Drapeau de la France Michel Polnareff,Ma dernière tournée,,NC
23/07/2025,Drapeau des États-Unis Imagine Dragons,Loom World Tour,,54 000 [ 92 ]
12/06/2026,Drapeau de la France Gims,Summer Tour 2026,,
13/06/2026,Drapeau de la France Gims,Summer Tour 2026,,
03/07/2026,Drapeau du Canada The Weeknd,After Hours Til Dawn,Playboi Carti,
04/07/2026,Drapeau du Canada The Weeknd,After Hours Til Dawn,Playboi Carti,