Date,Concert
"oct. 14, 2023",Shaka Ponk SHAKA PONK Setlists
"oct. 13, 2023",Shaka Ponk SHAKA PONK Setlists
"oct. 1, 2023",Black M BLACK M
"Sep 29, 2023",Redouane Bougheraba REDOUANE BOUGHERABA
"Sep 22, 2023",Martin Solveig / Miel de Montagne / Upsilone / Victor Flash
"Sep 06, 2023",Louise Attaque LOUISE ATTAQUE Setlists
"Jul 06, 2023",One Night of Queen Perf. By Gary Mullen ONE NIGHT OF QUEEN
"Jun 16, 2023",JOYAUX
"Jun 15, 2023",ABBA Mania / The Bestbeat
"Jun 14, 2023",Sum 41 / Fishbone / LANDMVRKS Summer Tour 2023 Videos Setlists
"Jun 07, 2023",Evanescence / TIGRESS Tour 2023 Setlists
"May 26, 2023",Ghost / Spiritbox / Lucifer Re-Imperatour 2023 Photos Setlists
"May 23, 2023",-M- Setlists
"May 22, 2023",-M-
"May 21, 2023",STARMANIA
"May 20, 2023",STARMANIA
"May 19, 2023",STARMANIA
"May 18, 2023",STARMANIA
"May 17, 2023",STARMANIA
"May 09, 2023",Scorpions SCORPIONS Setlists
"May 07, 2023",Bigflo & Oli / Olympe Chabert Les autres c’est nous tour Setlists
"May 06, 2023",Bigflo & Oli / Tioma Setlists
"May 05, 2023",Lynda LYNDA
"Apr 21, 2023",Jean-Marie Bigard JEAN MARIE BIGARD
"Apr 20, 2023",Josman Photos
"Apr 16, 2023",Le Lac Des Cygnes
"Apr 13, 2023",Lomepal Mauvais Ordre Tour Setlists
"Apr 12, 2023",Lomepal Mauvais Ordre Tour
"Apr 11, 2023",The Harlem Globetrotters HARLEM GLOBETROTTERS
"Apr 01, 2023",Stars 80 / Phil Barney / Emile / Joniece Jamison / Jean-Pierre Mader / Encore
"Mar 30, 2023",L'Heritage Goldman
"Mar 28, 2023",Louise Attaque LOUISE ATTAQUE Setlists
"Mar 26, 2023",JE VAIS T'AIMER
"Mar 25, 2023",JE VAIS T'AIMER
"Mar 23, 2023",Johnny Hallyday JOHNNY SYMPHONIQUE TOUR
"Mar 22, 2023",Inès Reg INES REG
"Mar 16, 2023",Celtic Legends CELTIC LEGENDS
"Mar 15, 2023",Camille Lellouche CAMILLE LELLOUCHE
"Mar 14, 2023",Kev Adams KEV ADAMS
"Mar 12, 2023",Jeff Panacloc JEFF PANACLOC ADVENTURE
"Mar 10, 2023",Jenifer / Al.Hy Setlists
"Mar 05, 2023",Le Lac Des Cygnes
"Mar 04, 2023",HF Thiefaine / Hubert-Félix Thiéfaine / Paul Pavillon Replugged Setlists
"Mar 03, 2023",Messmer MESSMER
"Feb 26, 2023",les bodin's LES BODIN'S GRANDEUR NATURE
"Feb 25, 2023",les bodin's LES BODIN'S GRANDEUR NATURE
"Feb 24, 2023",les bodin's LES BODIN'S GRANDEUR NATURE
"Feb 14, 2023",80
"Feb 03, 2023",Queen Symphonic / QUEEN Symphonic: A Rock Band & Orchestra Experience
"Jan 31, 2023",Lorenzo / Le Poto Rico La dernirère tournée
"Jan 27, 2023",80
"Jan 14, 2023",Pierre
"Jan 12, 2023",Clara Luciani
"Jan 06, 2023",Goldmen / With U2 Day
"Jan 05, 2023",Gary Mullen / The Works
"Dec 21, 2024",Calogero Setlists
"Dec 20, 2024",Calogero Setlists
"Dec 19, 2024",Vitaa
"Dec 18, 2024",Sch Photos
"Dec 17, 2024",Sch
"Dec 08, 2024",Stars 80 / Encore
"Dec 07, 2024",The Rabeats THE RABEATS
"Dec 06, 2024",Marie S'Infiltre
"Dec 05, 2024",Alban Ivanov ALBAN IVANOV
"Dec 04, 2024",Eddy de Pretto
"Dec 03, 2024",Hoshi
"nov. 30, 2024",Charlotte Cardin / Eugénie Setlists
"nov. 29, 2024",Kaaris Or Noir : Les 10 ans Setlists
"nov. 28, 2024",Grand Corps Malade
"nov. 26, 2024",Feder Setlists
"nov. 23, 2024",Zaho De Sagazan Setlists
"nov. 22, 2024",Fally Ipupa
"nov. 21, 2024",Maitre Gims Photos Setlists
"nov. 12, 2024",Kaleo Setlists
"nov. 10, 2024",David Hallyday Setlists
"nov. 9, 2024",Dire Straits Experience feat. Chris White THE DIRE STRAITS EXPERIENCE
"nov. 8, 2024",Shaka Ponk Setlists
"nov. 7, 2024",Shaka Ponk
"nov. 6, 2024",Werenoi
"oct. 27, 2024",Alors on Danse
"oct. 24, 2024",Luidji
"oct. 23, 2024",Soolking
"oct. 20, 2024",Ycare
"oct. 18, 2024",Slimane
"oct. 17, 2024",Slimane
"oct. 12, 2024",JE VAIS T'AIMER
"oct. 11, 2024",JE VAIS T'AIMER
"oct. 9, 2024",Patrick Bruel
"oct. 8, 2024",Patrick Bruel 2024 tour
"oct. 2, 2024",One Night of Queen Perf. By Gary Mullen ONE NIGHT OF QUEEN Photos
"Sep 30, 2024","Seal Seal,SEAL at Zenith Arena Setlists"
"Sep 26, 2024",Le Concert
"Jun 09, 2024",Molière l'opéra urbain Molière l’opéra urbain
"Jun 01, 2024",With U2 Day / Edgar
"May 31, 2024",Patrick Bruel
"May 30, 2024",Patrick Bruel
"May 26, 2024",M Pokora M.POKORA
"May 25, 2024",M Pokora M.POKORA
"May 23, 2024",Slimane SLIMANE
"May 19, 2024",Star Academy
"May 18, 2024",Star Academy / Louis albi STAR ACADEMY @ Zénith Arena de Lille
"May 05, 2024",Le Lac Des Cygnes
"May 04, 2024",Keen'V KEEN'V
"Apr 21, 2024",Stars 80 Stars 80 - Encore ! Setlists
"Apr 18, 2024",Jeff Panacloc JEFF PANACLOC ADVENTURE - JEFF PANACLOC
"Apr 17, 2024",Veronic DiCaire VERONIC DICAIRE
"Apr 16, 2024",The World of Hans Zimmer THE WORLD OF HANS ZIMMER
"Apr 07, 2024",Murmuration MURMURATION - 'MURMURATION'
"Apr 05, 2024",Star Academy STAR ACADEMY @ Zénith Arena de Lille Photos
"Apr 04, 2024",Star Academy Tour Star Academy / Pierre Garnier / Helena / Lenie / Candice / Djebril Slatni / Axel Marbeuf / Julien Lieb Photos
"Apr 03, 2024",Johnny Hallyday JOHNNY SYMPHONIQUE TOUR
"Apr 02, 2024",Les Cowboys Fringants LES COWBOYS FRINGANTS
"Mar 31, 2024",The Bootleg Beatles THE BOOTLEG BEATLES Setlists
"Mar 30, 2024",Patrick Fiori
"Mar 29, 2024",Hoshi / Météo Mirage Cœur Parapluie tour Photos
Date,Concert
"Mar 24, 2024",PLK
"Mar 22, 2024",Le Lac Des Cygnes
"Mar 21, 2024",Messmer MESSMER - 13Hz
"Mar 16, 2024",Goldmen
"Mar 13, 2024",Michael Jones / L'Heritage Goldman
"Mar 10, 2024",Cirque du Soleil's OVO
"Mar 09, 2024",Cirque du Soleil's OVO
"Mar 08, 2024",Cirque du Soleil's OVO
"Mar 07, 2024",Cirque du Soleil's OVO
"Mar 03, 2024",Mika Apocalypse Calypso Tour Setlists
"Feb 24, 2024",FRANGLISH
"Feb 23, 2024",PLK / Malo 140 Tour
"Feb 22, 2024",PLK / Malo 140 Tour
"Feb 21, 2024",James Blunt / Tors The Who We Used To Be Tour Setlists
"Feb 18, 2024",ERA
"Feb 17, 2024",Gospel Pour 100 Voix GOSPEL POUR 100 VOIX
"Feb 16, 2024",Grand Corps Malade GRAND CORPS MALADE Setlists
"Feb 09, 2024",Concert Setlists
"Feb 04, 2024",The Australian Pink Floyd Show Setlists
"Feb 01, 2024",ZKR
"Jan 28, 2024",500 Voix Pour Queen
"Jan 26, 2024",Michael Gregorio MICHAEL GREGORIO
"Jan 25, 2024",Alban Ivanov ALBAN IVANOV
"Jan 24, 2024",Christophe Maé Setlists
"Jan 23, 2024",Pascal Obispo
"Jan 21, 2024",Notre Dame de Paris Notre dame de Paris
"Jan 20, 2024",Notre Dame de Paris / Notre
"Jan 19, 2024",Notre Dame de Paris / Notre
"Jan 11, 2024",Calogero Setlists
"Jan 03, 2024",Harry Potter et le Prisonnier d’Azkaban en ciné-concert
"Dec 21, 2025",Tiakola
"Dec 20, 2025",Dany Boon DANY BOON
"Dec 19, 2025",Dany Boon DANY BOON
"Dec 18, 2025",Dany Boon DANY BOON
"Dec 07, 2025",Chantal Goya Setlists
"Dec 06, 2025",Laura Laune LAURA LAUNE
"Dec 04, 2025",HK
"Dec 03, 2025",Pierre Garnier Chaque Seconde Tour
"Dec 02, 2025",Nej
"nov. 30, 2025",M Pokora M.POKORA
"nov. 28, 2025",Gojira / Comeback Kid / Neckbreakker Videos Setlists
"nov. 27, 2025",Hamza Insomnia Tour
"nov. 25, 2025",Marie S'Infiltre MARIE S'INFILTRE
"nov. 22, 2025",M Pokora M.POKORA
"nov. 21, 2025",Djal
"nov. 20, 2025",Amir
"nov. 18, 2025",Simply Red 40th Anniversary Tour Setlists
"nov. 15, 2025",Lamomali
"nov. 14, 2025",‐M‐ Lamomali Tour Setlists
"nov. 12, 2025",Louane
"nov. 9, 2025",Vitaa
"nov. 8, 2025",Gims Le Dernier Tour Setlists
"nov. 7, 2025",Julien Dore JULIEN DORE
"nov. 6, 2025",Julien Dore / Olympe Chabert JULIEN DORE
"nov. 5, 2025",Sdm Sdm Tour
"oct. 31, 2025",Santa
"oct. 30, 2025",Jean‐Louis Aubert Pafini Tour Setlists
"oct. 29, 2025",GAZO
"oct. 25, 2025",Lara Fabian
"oct. 24, 2025",Ahmed Sylla AHMED SYLLA
"oct. 23, 2025",Veronique Sanson
"oct. 18, 2025",Helena La 1ère tournée en + grand Photos
"oct. 12, 2025",les bodin's
"oct. 11, 2025",les bodin's
"oct. 10, 2025",les bodin's
"oct. 4, 2025",Aldebert
"oct. 2, 2025",La La Land La La Land Ciné Concert
"Sep 19, 2025",Lilly Palmer / Noba
"Sep 18, 2025",Drag Race France Live All Stars ! Drag Race France Live All Stars ! @ Zénith Arena de Lille
"Jun 28, 2025",New rave Weekender Jour 2 Shlømo / Le Wanski / Zapravka / Omaks / VCL / Pawlowski / Vilain (special show) / ANSWR / Laure
"Jun 27, 2025",Odymel
"Jun 22, 2025",Santa
"Jun 21, 2025",Star Academy
"Jun 20, 2025",Star Academy
"Jun 18, 2025",Pierre Garnier Pierre Garnier @ Zénith Arena de Lille
"Jun 17, 2025",Powerwolf / Dragonforce Warp Speed Warriors Photos Setlists
"Jun 07, 2025",La Haine
"Jun 06, 2025",La Haine La haine jusqu’ici rien n’a changé
"May 29, 2025",Molière l’Opéra Urbain Moliere le spectacle
"May 25, 2025",Molière
"May 24, 2025","Molière l’Opéra Urbain Molière, Le Spectacle Photos"
"May 23, 2025",Molière
"May 17, 2025",Patrick Fiori
"May 16, 2025",Louane
"May 15, 2025",Waly Dia
"May 11, 2025",Gad Elmaleh
"May 10, 2025",Gad Elmaleh
"Apr 29, 2025",Katerine Zouzou Tour Setlists
"Apr 24, 2025",Soolking
"Apr 23, 2025","Heilung Albion, Eiru ok Erop Ferdhast"
"Apr 11, 2025",Koba LaD
"Apr 10, 2025",Inès Reg
"Apr 09, 2025",Inès Reg
"Apr 07, 2025",La Fouine
"Apr 06, 2025",Starmusical
"Apr 05, 2025",Tiakola
"Mar 29, 2025",Julien Dore Setlists
"Mar 28, 2025",Julien Dore
"Mar 27, 2025",Julien Dore Setlists
"Mar 25, 2025",Pierre Garnier / Daysy Videos
"Mar 23, 2025",Star Academy / Julien Lieb Star Academy Tour
"Mar 22, 2025",Star Academy STAR ACADEMY @ Zénith Arena de Lille
"Mar 21, 2025",Star Academy
"Mar 20, 2025",Queen
"Mar 19, 2025",Thomas Marty
"Mar 18, 2025",Artus
"Mar 16, 2025",FRANGLISH
"Mar 14, 2025",Saez Apocalypse Setlists
"Mar 13, 2025",Jean‐Louis Aubert Pafini Tour
"Mar 12, 2025",Celtic Legends
"Mar 11, 2025",Queen Extravaganza - Trib. to Queen
"Mar 10, 2025",Architects / Brutus / Guilt Trip 2025 Spring EU tour Setlists
"Mar 08, 2025",So Floyd - Trib. to Pink Floyd SO FLOYD – THE PINK FLOYD TRIBUTE
"Mar 05, 2025",Rootsriders
"Mar 04, 2025",Meute
"Mar 01, 2025",The Bootleg Beatles Setlists
"Feb 28, 2025",Jarry JARRY
"Feb 24, 2025",ERA Setlists
"Feb 22, 2025",Jamel Comedy Club
"Feb 18, 2025",Maitre Gims GIMS at Zenith Arena Setlists
"Feb 16, 2025",Fabien Olicard
"Feb 11, 2025",Toto / Christopher Cross Setlists
"Feb 02, 2025",Ahmed Sylla AHMED SYLLA
"Feb 01, 2025",Élodie Poux Elodie Poux
"Jan 30, 2025",GAZO
"Jan 29, 2025",Clara Luciani Setlists
"Jan 28, 2025",Clara Luciani Setlists
"Jan 27, 2025",Hans Zimmer
"Jan 26, 2025",Belles
"Jan 25, 2025",Sdm 2025 Tour Setlists
"Jan 19, 2025",Disney on Ice: 100 Years of Wonder
"Jan 18, 2025",Disney on Ice: 100 Years of Wonder
"Jan 17, 2025",Disney on Ice: 100 Years of Wonder
"Jan 15, 2025",Disney on Ice: 100 Years of Wonder
"Jan 12, 2025",Yellow Socks Orchestra
"Jan 11, 2025",Yellow Socks Orchestra
"Jan 10, 2025",Malik Bentalha
"Jan 25, 2026",Michel Jonasz
"Jan 24, 2026",Bekar Zénith de Bekar
"Jan 23, 2026",Rilès
"Jan 21, 2026",One Night of Queen Perf. By Gary Mullen ONE NIGHT OF QUEEN
"Jan 10, 2026",Gospel Pour 100 Voix
"Jan 07, 2026",Luc Langevin LUC LANGEVIN – L'ILLUSIONNISTE
"Mar 05, 2026",Jérémy Frérot JEREMY FREROT
"Mar 04, 2026",Morrissey Setlists
"Mar 03, 2026",Fabrice Éboué FABRICE EBOUE
"Feb 28, 2026",Star Academy
"Feb 26, 2026",Yellow Socks Orchestra Les musiques de Joe Hisaishi en concert symphonique
"Feb 25, 2026",Le Concert
"Feb 22, 2026",Calema
"Feb 18, 2026",Orelsan La Fuite En Avant tour Photos
"Feb 17, 2026",Orelsan Orelsan Tour 2026 Setlists
"Feb 16, 2026",Orelsan Orelsan Tour 2026
"Feb 15, 2026",Mika / Jack Garratt Spinning Out Tour Setlists
"Feb 14, 2026",Élodie Poux ELODIE POUX
"Feb 13, 2026",GENERATION CELINE
"Feb 12, 2026",Louane
"Feb 11, 2026",Elena Nagapetyan ELENA NAGAPETYAN
"Feb 10, 2026",Clara Luciani Setlists
"Feb 07, 2026",Diane Segard DIANE SEGARD
"Feb 05, 2026",DJ Kore
"Feb 03, 2026",La Fouine Tournée des 20 ans
"Feb 01, 2026",Feu! Chatterton / Sam Sauvage Videos Photos Setlists
"Mar 12, 2026",Ben Mazué
"Mar 11, 2026",Lara Fabian
"Mar 10, 2026",Santa Photos
"Mar 08, 2026",Paul Mirabel PAUL MIRABEL
"Mar 07, 2026",Paul Mirabel
"Mar 06, 2026",Paul Mirabel