Round Number,Date,Location,Home Team,Away Team,Result
20,27/01/2023 21:00:00,Stade du Moustoir,FC Lorient,Stade Rennais FC,2 - 1
20,28/01/2023 17:00:00,Stade de l'Aube,ESTAC Troyes,RC Lens,1 - 1
20,28/01/2023 21:00:00,Stade Vélodrome,Olympique de Marseille,AS Monaco,1 - 1
20,29/01/2023 13:00:00,Stade de Nice,OGC Nice,LOSC Lille,1 - 0
20,29/01/2023 15:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Montpellier Hérault SC,0 - 2
20,29/01/2023 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,Angers SCO,4 - 0
20,29/01/2023 15:00:00,Stade Gabriel Montpied,Clermont Foot 63,FC Nantes,0 - 0
20,29/01/2023 15:00:00,Stade de la Meinau,RC Strasbourg Alsace,Toulouse FC,1 - 2
20,29/01/2023 17:05:00,Stade François Coty,AC Ajaccio,Olympique Lyonnais,0 - 2
20,29/01/2023 20:45:00,Parc des Princes,Paris Saint-Germain,Stade de Reims,1 - 1
21,01/02/2023 19:00:00,Stade Raymond Kopa,Angers SCO,AC Ajaccio,1 - 2
21,01/02/2023 19:00:00,Stade Pierre-Mauroy,LOSC Lille,Clermont Foot 63,0 - 0
21,01/02/2023 19:00:00,Stade de la Beaujoire,FC Nantes,Olympique de Marseille,0 - 2
21,01/02/2023 19:00:00,Stade Auguste-Delaune,Stade de Reims,FC Lorient,4 - 2
21,01/02/2023 19:00:00,Stadium de Toulouse,Toulouse FC,ESTAC Troyes,4 - 1
21,01/02/2023 21:00:00,Stade Bollaert-Delelis,RC Lens,OGC Nice,0 - 1
21,01/02/2023 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade Brestois 29,0 - 0
21,01/02/2023 21:00:00,Stade Louis II,AS Monaco,AJ Auxerre,3 - 2
21,01/02/2023 21:00:00,Stade de la Mosson,Montpellier Hérault SC,Paris Saint-Germain,1 - 3
21,01/02/2023 21:00:00,Roazhon Park,Stade Rennais FC,RC Strasbourg Alsace,3 - 0
22,04/02/2023 17:00:00,Parc des Princes,Paris Saint-Germain,Toulouse FC,2 - 1
22,04/02/2023 19:00:00,Stade de l'Aube,ESTAC Troyes,Olympique Lyonnais,1 - 3
22,04/02/2023 21:00:00,Roazhon Park,Stade Rennais FC,LOSC Lille,1 - 3
22,05/02/2023 13:00:00,Stade Gabriel Montpied,Clermont Foot 63,AS Monaco,0 - 2
22,05/02/2023 15:00:00,Stade François Coty,AC Ajaccio,FC Nantes,0 - 2
22,05/02/2023 15:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Stade de Reims,0 - 0
22,05/02/2023 15:00:00,Stade du Moustoir,FC Lorient,Angers SCO,0 - 0
22,05/02/2023 15:00:00,Stade de la Meinau,RC Strasbourg Alsace,Montpellier Hérault SC,2 - 0
22,05/02/2023 17:05:00,Stade Francis-Le Blé,Stade Brestois 29,RC Lens,1 - 1
22,05/02/2023 20:45:00,Stade Vélodrome,Olympique de Marseille,OGC Nice,1 - 3
23,10/02/2023 21:00:00,Stade de Nice,OGC Nice,AC Ajaccio,3 - 0
23,11/02/2023 17:00:00,Stade Louis II,AS Monaco,Paris Saint-Germain,3 - 1
23,11/02/2023 21:00:00,Stade Gabriel Montpied,Clermont Foot 63,Olympique de Marseille,0 - 2
23,12/02/2023 13:00:00,Stadium de Toulouse,Toulouse FC,Stade Rennais FC,3 - 1
23,12/02/2023 15:00:00,Stade Raymond Kopa,Angers SCO,AJ Auxerre,1 - 1
23,12/02/2023 15:00:00,Stade Pierre-Mauroy,LOSC Lille,RC Strasbourg Alsace,2 - 0
23,12/02/2023 15:00:00,Stade de la Mosson,Montpellier Hérault SC,Stade Brestois 29,3 - 0
23,12/02/2023 15:00:00,Stade Auguste-Delaune,Stade de Reims,ESTAC Troyes,4 - 0
23,12/02/2023 17:05:00,Stade de la Beaujoire,FC Nantes,FC Lorient,1 - 0
23,12/02/2023 20:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,RC Lens,2 - 1
24,17/02/2023 21:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Olympique Lyonnais,2 - 1
24,18/02/2023 17:00:00,Stade de Nice,OGC Nice,Stade de Reims,0 - 0
24,18/02/2023 21:00:00,Stade de la Meinau,RC Strasbourg Alsace,Angers SCO,2 - 1
24,19/02/2023 13:00:00,Parc des Princes,Paris Saint-Germain,LOSC Lille,4 - 3
24,19/02/2023 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,AS Monaco,1 - 2
24,19/02/2023 15:00:00,Stade du Moustoir,FC Lorient,AC Ajaccio,3 - 0
24,19/02/2023 15:00:00,Roazhon Park,Stade Rennais FC,Clermont Foot 63,2 - 0
24,19/02/2023 15:00:00,Stade de l'Aube,ESTAC Troyes,Montpellier Hérault SC,0 - 1
24,19/02/2023 17:05:00,Stade Bollaert-Delelis,RC Lens,FC Nantes,3 - 1
24,19/02/2023 20:45:00,Stadium de Toulouse,Toulouse FC,Olympique de Marseille,2 - 3
25,24/02/2023 21:00:00,Stade Pierre-Mauroy,LOSC Lille,Stade Brestois 29,2 - 1
25,25/02/2023 17:00:00,Stade Raymond Kopa,Angers SCO,Olympique Lyonnais,1 - 3
25,25/02/2023 21:00:00,Stade de la Mosson,Montpellier Hérault SC,RC Lens,1 - 1
25,26/02/2023 13:00:00,Stade du Moustoir,FC Lorient,AJ Auxerre,0 - 1
25,26/02/2023 15:00:00,Stade François Coty,AC Ajaccio,ESTAC Troyes,2 - 1
25,26/02/2023 15:00:00,Stade Gabriel Montpied,Clermont Foot 63,RC Strasbourg Alsace,1 - 1
25,26/02/2023 15:00:00,Stade de la Beaujoire,FC Nantes,Stade Rennais FC,0 - 1
25,26/02/2023 15:00:00,Stade Auguste-Delaune,Stade de Reims,Toulouse FC,3 - 0
25,26/02/2023 17:05:00,Stade Louis II,AS Monaco,OGC Nice,0 - 3
25,26/02/2023 20:45:00,Stade Vélodrome,Olympique de Marseille,Paris Saint-Germain,0 - 3
26,03/03/2023 21:00:00,Stade de Nice,OGC Nice,AJ Auxerre,1 - 1
26,04/03/2023 17:00:00,Stade Bollaert-Delelis,RC Lens,LOSC Lille,1 - 1
26,04/03/2023 21:00:00,Parc des Princes,Paris Saint-Germain,FC Nantes,4 - 2
26,05/03/2023 13:00:00,Stade de l'Aube,ESTAC Troyes,AS Monaco,2 - 2
26,05/03/2023 15:00:00,Stade de la Mosson,Montpellier Hérault SC,Angers SCO,5 - 0
26,05/03/2023 15:00:00,Stade Auguste-Delaune,Stade de Reims,AC Ajaccio,1 - 0
26,05/03/2023 15:00:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Brestois 29,0 - 1
26,05/03/2023 15:00:00,Stadium de Toulouse,Toulouse FC,Clermont Foot 63,0 - 1
26,05/03/2023 17:05:00,Parc Olympique Lyonnais,Olympique Lyonnais,FC Lorient,0 - 0
26,05/03/2023 20:45:00,Roazhon Park,Stade Rennais FC,Olympique de Marseille,0 - 1
27,10/03/2023 21:00:00,Stade Pierre-Mauroy,LOSC Lille,Olympique Lyonnais,3 - 3
27,11/03/2023 17:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Stade Rennais FC,0 - 0
27,11/03/2023 21:00:00,Stade Francis-Le Blé,Stade Brestois 29,Paris Saint-Germain,1 - 2
27,12/03/2023 13:00:00,Stade Gabriel Montpied,Clermont Foot 63,RC Lens,0 - 4
27,12/03/2023 15:00:00,Stade François Coty,AC Ajaccio,Montpellier Hérault SC,0 - 1
27,12/03/2023 15:00:00,Stade Raymond Kopa,Angers SCO,Toulouse FC,0 - 2
27,12/03/2023 15:00:00,Stade du Moustoir,FC Lorient,ESTAC Troyes,2 - 0
27,12/03/2023 15:00:00,Stade de la Beaujoire,FC Nantes,OGC Nice,2 - 2
27,12/03/2023 17:05:00,Stade Louis II,AS Monaco,Stade de Reims,0 - 1
27,12/03/2023 20:45:00,Stade Vélodrome,Olympique de Marseille,RC Strasbourg Alsace,2 - 2
28,17/03/2023 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,FC Nantes,1 - 1
28,18/03/2023 17:00:00,Stadium de Toulouse,Toulouse FC,LOSC Lille,0 - 2
28,18/03/2023 21:00:00,Stade Bollaert-Delelis,RC Lens,Angers SCO,3 - 0
28,19/03/2023 13:00:00,Stade François Coty,AC Ajaccio,AS Monaco,0 - 2
28,19/03/2023 15:00:00,Stade de la Mosson,Montpellier Hérault SC,Clermont Foot 63,2 - 1
28,19/03/2023 15:00:00,Stade de Nice,OGC Nice,FC Lorient,1 - 1
28,19/03/2023 15:00:00,Stade de la Meinau,RC Strasbourg Alsace,AJ Auxerre,2 - 0
28,19/03/2023 15:00:00,Stade de l'Aube,ESTAC Troyes,Stade Brestois 29,2 - 2
28,19/03/2023 17:05:00,Parc des Princes,Paris Saint-Germain,Stade Rennais FC,0 - 2
28,19/03/2023 20:45:00,Stade Auguste-Delaune,Stade de Reims,Olympique de Marseille,1 - 2
29,31/03/2023 21:00:00,Stade Vélodrome,Olympique de Marseille,Montpellier Hérault SC,1 - 1
29,01/04/2023 17:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,ESTAC Troyes,1 - 0
29,01/04/2023 21:00:00,Roazhon Park,Stade Rennais FC,RC Lens,0 - 1
29,02/04/2023 13:00:00,Stade Pierre-Mauroy,LOSC Lille,FC Lorient,3 - 1
29,02/04/2023 15:00:00,Stade Raymond Kopa,Angers SCO,OGC Nice,1 - 1
29,02/04/2023 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,Toulouse FC,3 - 1
29,02/04/2023 15:00:00,Stade Gabriel Montpied,Clermont Foot 63,AC Ajaccio,2 - 1
29,02/04/2023 15:00:00,Stade de la Beaujoire,FC Nantes,Stade de Reims,0 - 3
29,02/04/2023 17:05:00,Stade Louis II,AS Monaco,RC Strasbourg Alsace,4 - 3
29,02/04/2023 20:45:00,Parc des Princes,Paris Saint-Germain,Olympique Lyonnais,0 - 1
30,07/04/2023 21:00:00,Stade Bollaert-Delelis,RC Lens,RC Strasbourg Alsace,2 - 1
30,08/04/2023 17:00:00,Stade Raymond Kopa,Angers SCO,LOSC Lille,1 - 0
30,08/04/2023 21:00:00,Stade de Nice,OGC Nice,Paris Saint-Germain,0 - 2
30,09/04/2023 13:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade Rennais FC,3 - 1
30,09/04/2023 15:00:00,Stade François Coty,AC Ajaccio,AJ Auxerre,0 - 3
30,09/04/2023 15:00:00,Stade de la Mosson,Montpellier Hérault SC,Toulouse FC,1 - 2
30,09/04/2023 15:00:00,Stade Auguste-Delaune,Stade de Reims,Stade Brestois 29,1 - 1
30,09/04/2023 15:00:00,Stade de l'Aube,ESTAC Troyes,Clermont Foot 63,0 - 2
30,09/04/2023 17:05:00,Stade de la Beaujoire,FC Nantes,AS Monaco,2 - 2
30,09/04/2023 20:45:00,Stade du Moustoir,FC Lorient,Olympique de Marseille,0 - 0
31,14/04/2023 21:00:00,Stadium de Toulouse,Toulouse FC,Olympique Lyonnais,1 - 2
31,15/04/2023 17:00:00,Roazhon Park,Stade Rennais FC,Stade de Reims,3 - 0
31,15/04/2023 21:00:00,Parc des Princes,Paris Saint-Germain,RC Lens,3 - 1
31,16/04/2023 13:00:00,Stade Pierre-Mauroy,LOSC Lille,Montpellier Hérault SC,2 - 1
31,16/04/2023 15:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,FC Nantes,2 - 1
31,16/04/2023 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,OGC Nice,1 - 0
31,16/04/2023 15:00:00,Stade Gabriel Montpied,Clermont Foot 63,Angers SCO,2 - 1
31,16/04/2023 15:00:00,Stade de la Meinau,RC Strasbourg Alsace,AC Ajaccio,3 - 1
31,16/04/2023 17:05:00,Stade Louis II,AS Monaco,FC Lorient,3 - 1
31,16/04/2023 20:45:00,Stade Vélodrome,Olympique de Marseille,ESTAC Troyes,3 - 1
32,21/04/2023 21:00:00,Stade Raymond Kopa,Angers SCO,Paris Saint-Germain,1 - 2
32,22/04/2023 17:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,LOSC Lille,1 - 1
32,22/04/2023 21:00:00,Stade Bollaert-Delelis,RC Lens,AS Monaco,3 - 0
32,23/04/2023 13:00:00,Stade Auguste-Delaune,Stade de Reims,RC Strasbourg Alsace,0 - 2
32,23/04/2023 15:00:00,Stade François Coty,AC Ajaccio,Stade Brestois 29,0 - 0
32,23/04/2023 15:00:00,Stade du Moustoir,FC Lorient,Toulouse FC,0 - 1
32,23/04/2023 15:00:00,Stade de la Beaujoire,FC Nantes,ESTAC Troyes,2 - 2
32,23/04/2023 15:00:00,Stade de Nice,OGC Nice,Clermont Foot 63,1 - 2
32,23/04/2023 17:05:00,Stade de la Mosson,Montpellier Hérault SC,Stade Rennais FC,1 - 0
32,23/04/2023 20:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,Olympique de Marseille,1 - 2
33,28/04/2023 21:00:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique Lyonnais,1 - 2
33,29/04/2023 17:00:00,Stade Pierre-Mauroy,LOSC Lille,AC Ajaccio,3 - 0
33,30/04/2023 13:00:00,Stade Louis II,AS Monaco,Montpellier Hérault SC,0 - 4
33,30/04/2023 15:00:00,Stade Gabriel Montpied,Clermont Foot 63,Stade de Reims,1 - 0
33,30/04/2023 15:00:00,Roazhon Park,Stade Rennais FC,Angers SCO,4 - 2
33,30/04/2023 15:00:00,Stade de l'Aube,ESTAC Troyes,OGC Nice,0 - 1
33,30/04/2023 17:05:00,Parc des Princes,Paris Saint-Germain,FC Lorient,1 - 3
33,30/04/2023 20:45:00,Stade Vélodrome,Olympique de Marseille,AJ Auxerre,2 - 1
33,02/05/2023 21:00:00,Stadium de Toulouse,Toulouse FC,RC Lens,0 - 1
33,03/05/2023 21:00:00,Stade Francis-Le Blé,Stade Brestois 29,FC Nantes,2 - 0
34,06/05/2023 17:00:00,Stade de Nice,OGC Nice,Stade Rennais FC,2 - 1
34,06/05/2023 19:00:00,Stade Auguste-Delaune,Stade de Reims,LOSC Lille,1 - 0
34,06/05/2023 21:00:00,Stade Bollaert-Delelis,RC Lens,Olympique de Marseille,2 - 1
34,07/05/2023 13:00:00,Stade Raymond Kopa,Angers SCO,AS Monaco,1 - 2
34,07/05/2023 15:00:00,Stade François Coty,AC Ajaccio,Toulouse FC,0 - 0
34,07/05/2023 15:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Clermont Foot 63,1 - 1
34,07/05/2023 15:00:00,Stade du Moustoir,FC Lorient,Stade Brestois 29,2 - 1
34,07/05/2023 15:00:00,Stade de la Beaujoire,FC Nantes,RC Strasbourg Alsace,0 - 2
34,07/05/2023 17:05:00,Parc Olympique Lyonnais,Olympique Lyonnais,Montpellier Hérault SC,5 - 4
34,07/05/2023 20:45:00,Stade de l'Aube,ESTAC Troyes,Paris Saint-Germain,1 - 3
35,12/05/2023 21:00:00,Stade Bollaert-Delelis,RC Lens,Stade de Reims,2 - 1
35,13/05/2023 17:00:00,Stade de la Meinau,RC Strasbourg Alsace,OGC Nice,2 - 0
35,13/05/2023 21:00:00,Parc des Princes,Paris Saint-Germain,AC Ajaccio,5 - 0
35,14/05/2023 13:00:00,Stade Gabriel Montpied,Clermont Foot 63,Olympique Lyonnais,2 - 1
35,14/05/2023 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,AJ Auxerre,1 - 0
35,14/05/2023 15:00:00,Stade de la Mosson,Montpellier Hérault SC,FC Lorient,1 - 1
35,14/05/2023 15:00:00,Roazhon Park,Stade Rennais FC,ESTAC Troyes,4 - 0
35,14/05/2023 15:00:00,Stadium de Toulouse,Toulouse FC,FC Nantes,0 - 0
35,14/05/2023 17:05:00,Stade Louis II,AS Monaco,LOSC Lille,0 - 0
35,14/05/2023 20:45:00,Stade Vélodrome,Olympique de Marseille,Angers SCO,3 - 1
36,19/05/2023 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,AS Monaco,3 - 1
36,20/05/2023 17:00:00,Stade de la Beaujoire,FC Nantes,Montpellier Hérault SC,0 - 3
36,20/05/2023 21:00:00,Stade Pierre-Mauroy,LOSC Lille,Olympique de Marseille,2 - 1
36,21/05/2023 13:00:00,Stade François Coty,AC Ajaccio,Stade Rennais FC,0 - 5
36,21/05/2023 15:00:00,Stade Francis-Le Blé,Stade Brestois 29,Clermont Foot 63,2 - 1
36,21/05/2023 15:00:00,Stade de Nice,OGC Nice,Toulouse FC,0 - 0
36,21/05/2023 15:00:00,Stade Auguste-Delaune,Stade de Reims,Angers SCO,2 - 2
36,21/05/2023 15:00:00,Stade de l'Aube,ESTAC Troyes,RC Strasbourg Alsace,1 - 1
36,21/05/2023 17:05:00,Stade du Moustoir,FC Lorient,RC Lens,1 - 3
36,21/05/2023 20:45:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Paris Saint-Germain,1 - 2
37,27/05/2023 21:00:00,Stade Raymond Kopa,Angers SCO,ESTAC Troyes,2 - 1
37,27/05/2023 21:00:00,Stade Gabriel Montpied,Clermont Foot 63,FC Lorient,2 - 0
37,27/05/2023 21:00:00,Stade Bollaert-Delelis,RC Lens,AC Ajaccio,3 - 0
37,27/05/2023 21:00:00,Stade Pierre-Mauroy,LOSC Lille,FC Nantes,2 - 1
37,27/05/2023 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade de Reims,3 - 0
37,27/05/2023 21:00:00,Stade Vélodrome,Olympique de Marseille,Stade Brestois 29,1 - 2
37,27/05/2023 21:00:00,Stade de la Mosson,Montpellier Hérault SC,OGC Nice,2 - 3
37,27/05/2023 21:00:00,Roazhon Park,Stade Rennais FC,AS Monaco,2 - 0
37,27/05/2023 21:00:00,Stade de la Meinau,RC Strasbourg Alsace,Paris Saint-Germain,1 - 1
37,27/05/2023 21:00:00,Stadium de Toulouse,Toulouse FC,AJ Auxerre,1 - 1
38,03/06/2023 21:00:00,Stade François Coty,AC Ajaccio,Olympique de Marseille,1 - 0
38,03/06/2023 21:00:00,Stade de l'Abbé-Deschamps,AJ Auxerre,RC Lens,1 - 3
38,03/06/2023 21:00:00,Stade Francis-Le Blé,Stade Brestois 29,Stade Rennais FC,1 - 2
38,03/06/2023 21:00:00,Stade du Moustoir,FC Lorient,RC Strasbourg Alsace,2 - 1
38,03/06/2023 21:00:00,Stade Louis II,AS Monaco,Toulouse FC,1 - 2
38,03/06/2023 21:00:00,Stade de la Beaujoire,FC Nantes,Angers SCO,1 - 0
38,03/06/2023 21:00:00,Stade de Nice,OGC Nice,Olympique Lyonnais,3 - 1
38,03/06/2023 21:00:00,Parc des Princes,Paris Saint-Germain,Clermont Foot 63,2 - 3
38,03/06/2023 21:00:00,Stade Auguste-Delaune,Stade de Reims,Montpellier Hérault SC,1 - 3
38,03/06/2023 21:00:00,Stade de l'Aube,ESTAC Troyes,LOSC Lille,1 - 1